Date,Confirmed,Recovered,Deaths,Active,NewCases,temperature
2020-02-01,0,0,0,0,0,10.1124698884642
2020-02-02,0,0,0,0,0,7.31790493010076
2020-02-03,0,0,0,0,0,7.89682326480026
2020-02-04,0,0,0,0,0,2.9505210861284
2020-02-05,0,0,0,0,0,1.22717137198096
2020-02-06,0,0,0,0,0,1.29419612553859
2020-02-07,0,0,0,0,0,2.21595693472726
2020-02-08,0,0,0,0,0,2.68852416494526
2020-02-09,0,0,0,0,0,7.32891624232625
2020-02-10,0,0,0,0,0,6.37860892922403
2020-02-11,0,0,0,0,0,2.78839262968922
2020-02-12,0,0,0,0,0,2.2040387665573
2020-02-13,0,0,0,0,0,2.04982030451567
2020-02-14,0,0,0,0,0,4.2338072657251
2020-02-15,0,0,0,0,0,5.32515227723742
2020-02-16,0,0,0,0,0,11.01161195146
2020-02-17,0,0,0,0,0,7.57286827042783
2020-02-18,0,0,0,0,0,5.26258939478138
2020-02-19,0,0,0,0,0,3.73515471670264
2020-02-20,0,0,0,0,0,4.03790428772761
2020-02-21,0,0,0,0,0,4.2607580509205
2020-02-22,0,0,0,0,0,6.66571482414282
2020-02-23,0,0,0,0,0,8.32335906437966
2020-02-24,0,0,0,0,0,4.2299431815412
2020-02-25,0,0,0,0,0,7.17149119235044
2020-02-26,1,0,0,1,0,2.07667557405342
2020-02-27,1,0,0,1,0,1.67868055909083
2020-02-28,1,0,0,1,0,1.93151353848331
2020-02-29,2,0,0,2,0,5.84573275795766
2020-03-01,4,0,0,4,0,5.86025334102497
2020-03-02,5,0,0,5,0,5.50030981238497
2020-03-03,6,0,0,6,0,3.52250159529971
2020-03-04,7,0,0,7,0,1.83533691157213
2020-03-05,14,0,0,14,0,3.49856860454328
2020-03-06,19,0,0,19,0,4.5080173165323
2020-03-07,23,1,0,22,0,3.20635266075739
2020-03-08,30,1,0,29,0,4.81504658707759
2020-03-09,34,1,0,33,0,6.20314027560324
2020-03-10,42,1,0,41,0,5.35301965822926
