Date,Confirmed,Recovered,Deaths,Active,NewCases,temperature
2020-03-30,23174,1685,1814,19675,1773,10.2393688568607
2020-03-31,24944,2388,2010,20546,1770,11.1039793778767
2020-04-01,26488,3211,2209,21068,1544,11.5307633853472
2020-04-02,27923,4200,2385,21338,1435,11.2778569619102
2020-04-03,29443,5505,2562,21376,1520,12.2306862721338
2020-04-04,30505,6921,2728,20856,1062,12.1499895947893
2020-04-05,31207,8079,2874,20254,702,12.1645558002742
2020-04-06,32444,9033,3042,20369,1237,12.8563846690941
2020-04-07,33700,10472,3202,20026,1256,13.5773385017229
2020-04-08,34998,12268,3376,19354,1298,13.932244583125
2020-04-09,36322,13961,3545,18816,1324,13.8989235013109
2020-04-10,37359,15793,3702,17864,1037,14.321184518728
2020-04-11,38208,17375,3841,16992,849,14.6121520968299
2020-04-12,38787,18772,3972,16043,579,14.6639344844644
2020-04-13,39448,19799,4103,15546,661,14.0238122089684
2020-04-14,40570,21360,4247,14963,1122,14.4740197692636
2020-04-15,41797,22934,4381,14482,1227,14.2000043844863
2020-04-16,42984,24279,4500,14205,1187,15.0569539507853
2020-04-17,44334,25538,4636,14160,1350,14.6625035298705
2020-04-18,45086,26881,4748,13457,752,15.1623400342414
2020-04-19,45585,27777,4856,12952,499,15.1576698936405
2020-04-20,46471,28333,4946,13192,886,15.4117563374681
2020-04-21,47406,29402,5046,12958,935,14.5256182982426
2020-04-22,48388,30498,5135,12755,982,14.2450090481764
2020-04-23,49080,31622,5213,12245,692,15.5833201853197
2020-04-24,49817,32777,5289,11751,737,15.228226162661
2020-04-25,50157,33657,5368,11132,340,15.3791238513367
2020-04-26,50426,34367,5446,10613,269,15.4680517307155
2020-04-27,50718,34815,5513,10390,292,15.5317402740012
2020-04-28,51143,35345,5589,10209,425,16.2241430924388
2020-04-29,51459,36323,5656,9480,316,15.9397643948295
2020-04-30,51794,37416,5719,8659,335,17.534989649571
2020-05-01,51985,38484,5772,7729,191,18.4515705425724
2020-05-02,52125,39698,5825,6602,140,18.2218297172453
2020-05-03,52199,40338,5887,5974,74,18.0442883613976
2020-05-04,52383,40729,5935,5719,184,17.7294455842949
2020-05-05,52569,41525,5985,5059,186,18.6229686997308
2020-05-06,52787,42360,6020,4407,218,19.1222224948631
2020-05-07,52973,43253,6065,3655,186,18.9485632720882
2020-05-08,53180,43867,6097,3216,207,18.456177434847
2020-05-09,53325,44528,6118,2679,145,17.8284267540256
2020-05-10,53401,44789,6145,2467,76,17.079047066103
2020-05-11,53500,44980,6178,2342,99,18.0816389655343
2020-05-12,53588,45205,6196,2187,88,16.5286491519499
2020-05-13,53774,45554,6213,2007,186,17.4024422515811
2020-05-14,53992,45803,6233,1956,218,15.872170283568
2020-05-15,54248,46075,6251,1922,256,16.3069850375362
2020-05-16,54391,46213,6263,1915,143,17.1169003103599
2020-05-17,54457,46300,6277,1880,66,17.8602885347814
2020-05-18,54693,46312,6286,2095,236,18.253368186237
2020-05-19,55012,46448,6301,2263,319,19.5908132325972
2020-05-20,55279,46584,6318,2377,267,20.2743103057463
2020-05-21,55644,46767,6329,2548,365,20.622445469416
2020-05-22,56061,46908,6346,2807,417,20.7236871898128
2020-05-23,56176,47083,6362,2731,115,20.5367679989953
