Date,Confirmed,Recovered,Deaths,Active,NewCases,temperature
2020-02-01,0,0,0,0,0,7.30708105246378
2020-02-02,0,0,0,0,0,6.9078974307915
2020-02-03,0,0,0,0,0,9.28045957390879
2020-02-04,0,0,0,0,0,7.96825416339576
2020-02-05,0,0,0,0,0,6.59646717899971
2020-02-06,0,0,0,0,0,4.34022188057482
2020-02-07,0,0,0,0,0,4.21445561186701
2020-02-08,0,0,0,0,0,4.43914783027762
2020-02-09,0,0,0,0,0,4.95919627880705
2020-02-10,0,0,0,0,0,7.33069662338819
2020-02-11,0,0,0,0,0,9.47806047614457
2020-02-12,0,0,0,0,0,8.02372743734421
2020-02-13,0,0,0,0,0,6.28338112433805
2020-02-14,0,0,0,0,0,7.61527127141672
2020-02-15,0,0,0,0,0,7.50322578330827
2020-02-16,0,0,0,0,0,7.42894309728878
2020-02-17,0,0,0,0,0,8.67640958752001
2020-02-18,0,0,0,0,0,8.47104867977755
2020-02-19,0,0,0,0,0,7.52824735693446
2020-02-20,0,0,0,0,0,7.28812338583533
2020-02-21,0,0,0,0,0,7.64471493705794
2020-02-22,0,0,0,0,0,7.67347061156579
2020-02-23,0,0,0,0,0,8.95849451039811
2020-02-24,0,0,0,0,0,11.4430271028801
2020-02-25,68,0,0,68,68,9.76027586535119
2020-02-26,86,0,3,83,18,7.94660726932778
2020-02-27,231,0,3,228,145,5.57775408422193
2020-02-28,359,40,8,311,128,7.95767211998838
2020-02-29,443,40,11,392,84,6.55766486353066
2020-03-01,812,40,17,755,369,6.71982224288714
2020-03-02,1082,73,18,991,270,4.97013041139292
2020-03-03,1348,139,32,1177,266,7.41355789815544
2020-03-04,1648,139,49,1460,300,7.02509325843782
2020-03-05,2079,250,67,1762,431,5.55877975062455
2020-03-06,2440,376,92,1972,361,6.1594691399268
2020-03-07,3248,469,129,2650,808,8.26340452937675
2020-03-08,4017,524,148,3345,769,7.47726646208512
2020-03-09,5297,550,261,4486,1280,6.6566841478423
2020-03-10,5619,646,327,4646,322,8.15771267560042
2020-03-11,7108,896,462,5750,1489,11.107641090581
2020-03-12,8553,900,611,7042,1445,10.5070776432665
2020-03-13,9648,1085,738,7825,1095,12.5208437809913
2020-03-14,11513,1198,884,9431,1865,9.02420491949077
2020-03-15,13100,1660,960,10480,1587,8.08691003256689
2020-03-16,14477,2011,1212,11254,1377,8.79021209322209
2020-03-17,16048,2368,1414,12266,1571,9.30474052873672
2020-03-18,17541,2485,1634,13422,1493,11.1329120988075
2020-03-19,19712,3488,1953,14271,2171,12.326597127267
2020-03-20,22092,3778,2162,16152,2380,11.9452942027131
2020-03-21,25343,4295,2543,18505,3251,11.7327522810542
2020-03-22,27034,5050,3089,18895,1691,10.6747078333278
2020-03-23,28589,5865,3450,19274,1555,5.12464956202752
2020-03-24,30531,6075,3770,20686,1942,5.55976732678433
2020-03-25,32174,6657,4172,21345,1643,4.52304333674062
2020-03-26,34717,7281,4468,22968,2543,3.50207081989241
2020-03-27,37126,7839,4855,24432,2409,8.42063452201189
2020-03-28,39243,8001,5396,25846,2117,11.8627619163429
2020-03-29,40835,8962,5938,25935,1592,12.0874958137865
2020-03-30,41989,9255,6354,26380,1154,9.31028964328301
2020-03-31,43036,10337,6812,25887,1047,5.1725356587651
2020-04-01,44601,10885,7193,26523,1565,5.24588712406048
2020-04-02,45893,11415,7587,26891,1292,6.22483881715444
2020-04-03,47348,12229,7954,27165,1455,8.57441817711137
2020-04-04,48946,13020,8305,27621,1598,10.5688247235012
2020-04-05,50283,13242,8650,28391,1337,11.7096747056647
2020-04-06,51362,13426,8899,29037,1079,13.0938358950556
2020-04-07,52153,13863,9196,29094,791,13.8881711900478
2020-04-08,53242,14498,9478,29266,1089,13.9626169937881
2020-04-09,54630,15147,9716,29767,1388,14.7292025180883
2020-04-10,55876,15706,10016,30154,1246,15.7180884852427
2020-04-11,57420,16280,10232,30908,1544,16.1658153804552
2020-04-12,58880,16823,10505,31552,1460,16.0789198945877
2020-04-13,60142,17166,10615,32361,1262,15.6246551278983
2020-04-14,61154,17478,10895,32781,1012,14.6742609405595
2020-04-15,61981,17821,11136,33024,827,11.4516711532558
2020-04-16,62922,17855,11371,33696,941,13.1856138033411
2020-04-17,63963,18396,11602,33965,1041,14.6421797830832
2020-04-18,65209,18850,11845,34514,1246,16.3544037173493
2020-04-19,66064,19136,12044,34884,855,16.9132590266333
2020-04-20,66799,19526,12207,35066,735,13.535739448663
2020-04-21,67759,20008,12370,35381,960,11.8813991554318
2020-04-22,68920,21374,12573,34973,1161,14.0711657053188
2020-04-23,69993,22110,12734,35149,1073,14.5941114681617
2020-04-24,71084,23352,12934,34798,1091,16.2762043676532
2020-04-25,71797,23782,13100,34915,713,17.1144729650582
2020-04-26,72717,24227,13263,35227,920,16.7939093200639
2020-04-27,73307,24398,13319,35590,590,16.16750948778
2020-04-28,74176,24589,13443,36144,869,15.1989467847231
2020-04-29,74962,25029,13569,36364,786,15.620469674546
2020-04-30,75560,25333,13673,36554,598,14.6394203310679
2020-05-01,76297,25749,13766,36782,737,14.4902726442178
2020-05-02,76830,26136,13854,36840,533,17.1622976258122
2020-05-03,77356,26146,14183,37027,526,16.880095491294
2020-05-04,77933,26371,14225,37337,577,17.0354478141914
2020-05-05,78433,26504,14288,37641,500,16.8463887673327
2020-05-06,79197,27124,14383,37690,764,16.4661561534879
2020-05-07,79917,33005,14605,32307,720,17.7992643908927
2020-05-08,80551,33329,14739,32483,634,18.9617263460325
2020-05-09,81053,33901,14833,32319,502,19.6234442907053
2020-05-10,81335,36039,14918,30378,282,18.3797282368683
2020-05-11,81699,36331,14980,30388,364,14.8778346866255
2020-05-12,82732,36406,15048,31278,1033,16.3058884008352
2020-05-13,83126,37113,15110,30903,394,14.6052649245167
2020-05-14,83648,38081,15179,30388,522,17.7356409474752
2020-05-15,83947,38568,15290,30089,299,16.487432889285
2020-05-16,84346,40962,15405,27979,399,16.7938226502526
2020-05-17,84672,41389,15444,27839,326,18.1225480616244
2020-05-18,84847,41895,15513,27439,175,20.2716698735957
2020-05-19,85309,42403,15537,27369,462,19.4224014775299
2020-05-20,85603,42593,15591,27419,294,20.1102055102446
2020-05-21,85919,43442,15656,26821,316,20.6872592846764
2020-05-22,86212,43649,15721,26842,293,20.9406528763501
2020-05-23,86653,44667,15778,26208,441,20.9211817843118
2020-05-24,86938,45355,15834,25749,285,18.8528028161269
2020-05-25,87086,45656,15834,25596,148,19.5848201123862
2020-05-26,87245,46169,15868,25208,159,19.269762761079
2020-05-27,87629,47044,15890,24695,384,18.9618964700267
2020-05-28,88011,47810,15948,24253,382,19.3769449117794
