Date,S,E,I,Q,R,D,P,Total Cases,std S,std E,std I,std Q,std R,std D,std P,std Total Cases,N
2020-03-05,2373182.1,15.5,14,14,0,0.2,18774.2,14.2,2358.46312033918,1.85741756210067,0.774596669241483,0.447213595499958,0,0.4,2357.5567776832,0.847213595499958,2392000
2020-03-06,1968961.7,54,19.1,13.5,0,2.7,422949,16.2,48833.1183236336,11.7046999107196,2.50798724079689,2.9748949561287,0,2.79463772249642,48825.9156104624,5.76953267862513,2392000
2020-03-07,1642523.3,94.9,32.5,17.1,0,4,749328.2,21.1,77371.7853807834,27.3256289955053,4.27200187265877,4.01123422402632,0,3.3466401061363,77350.9684952942,7.35787433016262,2392000
2020-03-08,1377719.7,144.6,51.8,23,0.1,6.2,1014054.6,29.3,93302.4138273496,45.367830012025,10.2742396312331,5.86515131944607,0.3,5.21152568831815,93266.0491939055,11.3766770077642,2392000
2020-03-09,1153541.3,204,79.7,33.7,0.3,8.4,1238132.6,42.4,101040.421375853,67.8262486062734,18.7138985783294,7.29451848993475,0.640312423743285,6.32771680782255,100981.856643855,14.2625477215006,2392000
2020-03-10,977479.7,259.4,119.6,46,0.8,11.4,1414083.1,58.2,102963.628246143,88.091089220193,25.1404057246497,10.807404868885,0.979795897113271,8.67409937688058,102882.598524192,20.4613001428789,2392000
2020-03-11,832318.6,330.1,165.5,68,1.5,14.9,1559101.4,84.4,101306.701586025,114.111743479801,34.3634980757198,12.9228479833201,1.02469507659596,11.0765518100174,101196.899738283,25.0240948699335,2392000
2020-03-12,712056.9,399.4,221.8,92.2,2.6,19.7,1679207.4,114.5,97573.7908748553,142.143026561277,42.8691030930203,19.041008376659,1.56204993518133,13.5723984615837,97430.8383174444,34.1754567734241,2392000
2020-03-13,612031.2,468.9,281.9,128.4,4.4,25.2,1779060,158,92603.5441349844,160.636515151444,65.964308531205,22.6371376282427,1.68522995463527,17.6340579561257,92428.7239368801,41.9564255390036,2392000
2020-03-14,528485.9,539.1,345.3,170.7,8.6,30.5,1862419.9,209.8,86972.834714582,192.428402269519,73.2557847545162,33.2356736053296,1.42828568570857,21.4534379529249,86766.4102892934,56.1173972439631,2392000
2020-03-15,456021.6,592.9,422.3,230.9,11.9,35.8,1934684.6,278.6,80776.872708963,217.930470563435,90.4356677423239,46.9285627310277,1.81383571472171,24.6730622339425,80531.4898858825,73.4154606796919,2392000
2020-03-16,397493.3,643.4,487.8,298.2,17.2,43.1,1993017,358.5,74841.6903056712,235.106869316913,103.980575109008,58.2988850665259,3.18747549010185,29.2863449409447,74570.3448322455,90.7727054975725,2392000
2020-03-17,348423,680.7,551.9,374.1,24.4,51.2,2041894.7,449.7,69113.0830856214,243.431325017961,118.646070309977,74.430437322375,5.02394267483219,34.190057034173,68817.8961434451,113.64443703138,2392000
2020-03-18,306831.9,706.7,616.2,449.1,36.8,60.7,2083298.6,546.6,63734.8151491004,249.954415844169,136.292919845456,85.4744991210829,6.96850055607374,39.6233517007332,63412.4506232018,132.06635137789,2392000
2020-03-19,271589.3,725.8,665.4,539.9,49.4,69.2,2118361,658.5,58725.3822959885,255.922957157032,143.550827235513,104.269314757507,10.2391405889362,45.1304775068911,58377.6506635887,159.638932853334,2392000
2020-03-20,241425,718.8,723.6,631.6,65.9,79.4,2148355.7,776.9,54132.7385359359,253.582254899668,158.345318844606,127.214936229988,16.1458973117012,50.715283692394,53762.9546808023,194.076117234084,2392000
2020-03-21,214871.6,713.7,765.8,732.5,85.7,88.2,2174742.5,906.4,49923.9872069529,258.148038923405,172.14633310065,138.215954216581,21.251117617669,56.502743296233,49527.0245992024,215.969815130483,2392000
2020-03-22,193180.3,704.1,796.6,830.3,111.3,97,2196280.4,1038.6,46267.5091701509,259.416055786838,174.02367655006,162.744615886364,25.8342795525635,61.0704511199975,45852.3792647666,249.649346558924,2392000
2020-03-23,174663.4,676.6,823.6,930.6,140.8,105.4,2214659.6,1176.8,42982.9599567084,244.373975701178,182.092394130013,180.963090159292,29.8891284583542,64.3244898930415,42559.243363105,275.176708510688,2392000
2020-03-24,158875.5,659.2,831.3,1031.5,175.3,112.7,2230314.5,1319.5,40130.8223196336,236.064736883762,191.188414920988,198.370990822751,33.4874603396555,67.895581594092,39697.2988608797,299.754032756499,2392000
2020-03-25,145314.6,630.9,850.3,1118.1,218.2,119.6,2243748.3,1455.9,37685.3234859408,222.288753651641,195.811669723742,215.225207631448,41.6576523582403,70.29679935815,37238.142096646,327.179659347838,2392000
2020-03-26,133731.8,601.5,854.7,1207.4,262.4,127.8,2255214.4,1597.6,35525.2032219381,211.629038650181,194.652536587633,236.0636354884,49.3035495679571,73.361842943045,35064.9482109984,358.729027999402,2392000
2020-03-27,123884.7,572.9,850.7,1294.6,309.7,135.1,2264952.3,1739.4,33639.9732581642,197.609438033713,204.208251547287,246.716922808307,61.7770993168181,75.1803830796306,33172.5079095627,383.674405204755,2392000
