Date,S,E,I,Q,R,D,P,Total Cases,std S,std E,std I,std Q,std R,std D,std P,std Total Cases,N
2020-02-25,9962344,72.5,69.4,67.8,0,0.6,98019.7,68.4,37847.2867666891,3.4132096331752,1.2,1.46969384566991,0,1.01980390271856,37848.4000640714,2.48949774838846,10060574
2020-02-26,8016419.6,193.5,147.7,67.9,0.1,11,2043734.2,79,764948.13305468,45.4406205943537,37.9052766775287,17.1490524519578,0.3,10.3923048454133,764950.857186761,27.8413572973711,10060574
2020-02-27,6647352.9,372.6,312.5,80.2,0.3,21,3412434.5,101.5,1253010.52758973,139.966567436656,135.671109673357,34.5508321173311,0.640312423743285,16.2419210686421,1253114.49493462,51.4330656097165,10060574
2020-02-28,5651615.6,692.7,643.9,106.8,0.9,32.3,4407481.8,140,1602455.95426185,464.973988519788,414.744367050356,62.5952074842795,2.0712315177208,24.8114892741246,1603020.3483626,89.4779282761249,10060574
2020-02-29,4909193.8,1325.6,1310.8,152.8,1.8,47.3,5148541.9,201.9,1864017.90093227,1371.93288465581,1191.65748434691,102.038032125282,3.21869538788622,40.3436488186183,1866028.33781154,145.600376331786,10060574
2020-03-01,4322825.8,2831.3,2814,224.5,3.3,68.5,5731806.6,296.3,2071454.83491168,4048.18272932436,3450.6212484131,157.358348999982,5.40462764674866,66.5631279313104,2077942.3144887,229.326104578041,10060574
2020-03-02,3885719.4,6276.7,6185.7,319,5.5,91.6,6161976.1,416.1,2220670.41008157,10880.2128935973,9429.29217969196,229.332073639951,8.54692927313664,95.9408150893039,2239020.05388163,333.819818002392,10060574
2020-03-03,3532533.9,14783.5,14162,448.9,9.7,124.2,6498511.8,582.8,2319419.77594844,28704.4344527113,25004.7910009262,326.449521365861,14.2832069228167,138.512670900535,2368811.74644735,479.245399189214,10060574
2020-03-04,3225385.9,35360.4,33629.9,598.8,17.7,169.1,6765412.2,785.6,2347329.51572758,73014.9540877758,65216.5054498476,436.282202249874,23.000217390277,190.816377703802,2474962.32355161,650.098797343953,10060574
2020-03-05,2916638.4,83185.3,80602.2,795.8,26,222.6,6979103.7,1044.4,2246868.86626359,177942.235074223,165460.643669001,566.854972634094,29.6006756679641,247.278870912984,2562068.92849022,843.734519215042,10060574
2020-03-06,2540486.7,179797.2,187570.8,1035,37.7,285.2,7151361.4,1357.9,1923899.95874713,388458.994928886,397345.638985455,723.968783857426,39.9375762910069,323.352068185747,2633894.52347379,1087.25842833418,10060574
2020-03-07,2051197.9,318096.3,398112.3,1310.7,55.1,366.1,7291435.6,1731.9,1358994.40394333,675520.571925541,850683.436075142,882.624841028169,52.4069651859369,411.450956980294,2693632.62318488,1346.4827631944,10060574
2020-03-08,1531223.5,405608.2,715637.5,1622.5,75.1,463.5,7405943.7,2161.1,824327.86610999,825253.164610085,1510297.18764707,1038.80433672564,70.1675851087951,499.124283119946,2743357.80623804,1608.09620495438,10060574
2020-03-09,1132417.4,354779.5,1066905.4,1988.8,107.9,589.1,7503785.9,2685.8,637653.982021002,706169.929686226,2199339.31844171,1194.33427481589,91.4236840211551,608.132132023954,2786399.42165891,1893.890090861,10060574
2020-03-10,925439.6,229482.5,1321183.4,2395.5,142.6,726.1,7581204.3,3264.2,662295.753110829,468006.25514073,2677997.57251694,1355.97723063479,112.06890737399,707.880279425836,2820719.91525979,2175.92641743462,10060574
2020-03-11,820573.1,120593.1,1469908.9,2822.2,182.6,881.5,7645612.6,3886.3,671489.988779796,252190.260797855,2955112.32867549,1527.25779094428,132.130390145492,807.464333577651,2849543.05551751,2466.85251466742,10060574
2020-03-12,756669.4,56542.6,1543258.2,3270,233.2,1056,7699544.6,4559.2,657014.258498429,118563.085860819,3091980.57093708,1724.67115706154,155.304088806445,918.338390790671,2873753.77278389,2798.31363665866,10060574
2020-03-13,708776.2,25431.8,1576341.9,3720.8,294.3,1243.1,7744765.9,5258.2,639117.007297224,51737.6572813265,3153455.51957564,1937.55922748183,183.701959706477,1025.47729862733,2894232.89909836,3146.73848581564,10060574
2020-03-14,669448.2,11495.2,1590721.4,4183.5,362.8,1445.8,7782917.1,5992.1,622976.37851925,21530.5558767069,3179885.4307781,2155.45759642819,211.451554735358,1129.26903791789,2911554.29285972,3496.17818908144,10060574
2020-03-15,636124.6,5596.9,1596786.1,4623.2,446,1660.6,7815336.6,6729.8,609484.706218983,8788.37402993296,3190698.79595948,2373.06004138117,247.566556707484,1231.88637463039,2926357.07408444,3852.51297271904,10060574
2020-03-16,607840.1,3073.8,1599355.3,5075.6,542.9,1882.9,7842803.4,7501.4,598591.225521465,3405.43523796886,3195044.18156338,2629.49862901657,291.711655577901,1338.43098066355,2939000.94564364,4259.64126525802,10060574
2020-03-17,582989.4,1972.8,1600472.9,5520.7,653.5,2121.6,7866843.1,8295.8,589805.624170235,1280.04849908119,3196670.72459515,2892.66372224633,329.732088217086,1456.20927067506,2950203.09971685,4678.60508113848,10060574
2020-03-18,562598.1,1500.6,1600907.7,5947.9,769.6,2352.7,7886497.4,9070.2,582844.148130948,713.191446948153,3197160.5524115,3142.20035802939,371.567275200602,1564.99738338439,2959390.41786829,5078.76501661438,10060574
2020-03-19,544948,1267.3,1601074.5,6362.1,898.4,2585.6,7903438.1,9846.1,577236.780150399,701.581648847802,3197186.16309536,3406.38378489565,417.190412162121,1674.2394810779,2967375.4084548,5497.81367813567,10060574
2020-03-20,529851.3,1145.5,1601058.9,6777.8,1037.1,2824.6,7917878.8,10639.5,573051.16591698,712.962025636709,3197029.81824891,3667.29807351407,464.244213749617,1780.51869970523,2974288.65363403,5912.06098696891,10060574
2020-03-21,516478.8,1056.6,1600988.4,7170.6,1189.3,3061.3,7930629,11421.2,569378.585137306,694.514679470492,3196817.2202386,3925.50053368994,515.915894308365,1877.2682307012,2980390.15183409,6318.6846586995,10060574
2020-03-22,505066.9,1001.7,1600860.5,7547.4,1356.1,3300.8,7941440.6,12204.3,566644.888666694,670.194009224195,3196583.69055335,4175.55951220911,579.724667406865,1983.14093296467,2985626.90094651,6738.42511258065,10060574
2020-03-23,494973.6,953.7,1600699.2,7912.3,1526.6,3540.1,7950968.5,12979,564051.891419788,643.975783706189,3196340.93123587,4435.22101027672,638.016645550882,2078.22358999218,2990201.90601114,7151.46124581978,10060574
2020-03-24,486044,910.6,1600514,8263.3,1716.7,3772.2,7959353.2,13752.2,562161.290073409,606.835925106614,3196100.61802776,4669.94049319689,704.042903522221,2170.95982459372,2994303.55830937,7544.94322131283,10060574
2020-03-25,478053.2,864.6,1600282.3,8628.3,1922.6,4010.9,7966812.1,14561.8,560818.804590895,565.501759502126,3195868.61276805,4914.38753152415,770.940360858089,2266.18478725809,2998013.9773153,7951.51267964033,10060574
2020-03-26,471341.3,826.7,1600058.7,8947.3,2128.6,4239.7,7973031.7,15315.6,559840.640070913,545.274985672367,3195664.13346638,5147.21730743904,840.6170590703,2348.3670518043,3001130.14739708,8336.20141831364,10060574
2020-03-27,465412,790.7,1599811,9251.8,2350.7,4462.8,7978495,16065.3,559298.29421088,520.408503005091,3195465.2941828,5357.40851158468,915.570101084565,2432.08999833477,3003928.07599014,8705.06861100401,10060574
2020-03-28,460273.5,755.1,1599541.9,9549.8,2577.7,4681.5,7983194.5,16809,559063.47485384,499.041771798714,3195258.77148304,5555.80377263272,1004.35123836236,2518.99453155421,3006374.75530235,9079.14954254929,10060574
2020-03-29,455702.6,729.5,1599262.2,9835.5,2809.7,4896.2,7987338.3,17541.4,559024.831530264,482.892586399916,3195072.81178676,5741.08385672949,1084.79012255828,2593.36872812178,3008568.49764941,9419.24270740955,10060574
2020-03-30,451565.8,691.1,1598985.3,10086.9,3062.2,5110.7,7991072,18259.8,558656.538614165,458.909675208532,3194895.80416332,5919.05395227987,1178.78367820394,2670.14452979609,3010485.0435465,9767.9821602799,10060574
2020-03-31,447991.9,674.7,1598696.2,10308.7,3331.2,5315.5,7994255.8,18955.4,558932.027785571,435.084600968593,3194726.07317115,6088.1682310856,1282.08812489626,2743.46817914843,3012229.29967749,10113.7245351303,10060574
2020-04-01,444555.6,657.3,1598388,10537.8,3606.5,5521.9,7997306.9,19666.2,558771.774721523,428.36177467183,3194549.48564341,6241.54496579172,1371.12896913456,2816.81864698457,3013825.69540083,10429.4925819109,10060574
2020-04-02,441595.1,628.1,1598079.8,10751.9,3900.5,5727.5,7999891.1,20379.9,559181.733794739,423.91495609379,3194351.46728464,6380.85074970415,1470.58105862955,2886.95962043115,3015282.13447629,10738.3914287649,10060574
2020-04-03,438881.9,607.4,1597792,10931.1,4192.3,5912.6,8002256.7,21036,559272.05062321,411.86556058986,3194166.0776526,6495.32021458527,1572.85231665277,2948.84910431171,3016564.73956841,11017.0216355498,10060574
2020-04-04,436634,602.1,1597464.6,11114.7,4497.2,6093.4,8004168,21705.3,559760.01328355,417.600634578062,3194005.80423265,6606.2548096482,1684.9353578105,3003.6311424674,3017680.81189847,11294.8213099261,10060574
2020-04-05,434535.9,570.6,1597177,11269,4792.9,6277.2,8005951.4,22339.1,560016.266139556,402.01994975374,3193833.67517067,6704.378151626,1785.86480171372,3064.52315377124,3018688.26551568,11554.766107111,10060574
2020-04-06,432454.2,556,1596862.8,11425.4,5104.2,6448,8007723.4,22977.6,560134.144528041,393.841084702955,3193669.64436536,6792.01257654902,1902.49881997335,3123.34500175693,3019666.628594,11817.8563982793,10060574
2020-04-07,430711.8,542.5,1596557.6,11557.2,5436.5,6610.4,8009158,23604.1,560516.905398722,391.365110861967,3193498.35470264,6874.83564603547,2021.9870548547,3174.95959659332,3020517.11051499,12071.7822974835,10060574
