Date,S,E,I,Q,R,D,P,Total Cases,std S,std E,std I,std Q,std R,std D,std P,std Total Cases,N
2020-07-16,2129849.9,2537.1,2268.8,2279.4,16960,5236,67868.8,24475.4,33735.825214303,84.2240464475556,62.6079867109621,35.4857717965948,0,4.38178046004133,33709.3574984751,39.8675522566361,2227000
2020-07-19,1129354,7090.9,3514,2654,16966.9,5320.8,1062099.4,24941.7,476029.26577575,1858.70069941344,2225.94043046978,594.441923151455,2.94788059459673,68.1539433928808,475961.536825656,665.543747138932,2227000
2020-07-20,728512.5,9799.6,6465.3,2854.1,16994.5,5374.2,1456999.8,25222.8,597155.580325638,5220.38267179716,6679.20005764163,816.902007587201,12.737739202857,103.173446196199,597333.168029668,932.813192986258,2227000
2020-07-21,533009.1,11818.9,11158.5,3022.3,17040.6,5405.2,1645545.4,25468.1,626591.515053061,10141.6453246009,15705.8500136096,908.783257988394,26.5638852579964,121.958025566176,626365.840997128,1057.30516881257,2227000
2020-07-22,431507.5,13030.5,16981.7,3167.4,17105.5,5423.9,1739783.5,25696.8,629520.749700159,14409.0851565948,28965.3285223903,916.316015357148,50.476232030531,131.439301580616,627631.666334842,1098.23154896829,2227000
2020-07-24,369965.2,13125.8,23443.5,3307.5,17188.8,5435.1,1794534.1,25931.4,626366.839541941,15836.4167335922,45207.5150373254,890.905073506712,79.6615340048132,135.410080865495,621980.94796906,1105.97668837702,2227000
2020-07-25,330560.9,12202,29472.3,3446.2,17287.8,5442.5,1828588.3,26176.5,621732.867622333,14440.7370172024,61034.3949737359,840.031999390499,104.945509670495,137.57706931026,615050.105299893,1082.55457837125,2227000
2020-07-26,304411.3,10749.5,34226.8,3583.6,17402.8,5448.6,1851177.4,26435,616525.758192316,11675.4684552698,73852.2845249895,769.301657349053,130.915850835565,138.624096029514,608385.478782523,1038.84160421413,2227000
2020-07-27,286571.1,9327.9,37476.5,3728,17530,5453.2,1866913.3,26711.2,611233.787055076,9505.55581173452,82787.465214548,698.780222959981,161.692918830727,139.091912058178,602480.957801,999.565053848886,2227000
2020-07-28,273422.1,8242,39498.4,3866.9,17675,5455.8,1878839.8,26997.7,605826.500075302,8769.89785573356,88409.2414459031,623.074385607369,187.764213842787,138.871019294884,596967.214084961,949.70961874504,2227000
2020-07-29,263982.3,7643.1,40541.8,3991.5,17834.8,5458.7,1887547.8,27285,600792.852051196,8927.46929930314,91455.1730082011,553.251344327332,210.81356692585,137.392903746882,592064.876288368,901.457815000065,2227000
2020-07-30,256659.3,7350.1,41076.2,4115.6,17997.1,5459.9,1894341.8,27572.6,596035.530762898,9284.26656715543,93150.633236495,494.340611319766,227.323755907736,137.167379504021,587519.047112994,858.831746731523,2227000
2020-07-31,250849.9,7240.4,41339.3,4222,18173.1,5461.5,1899713.8,27856.6,591377.52474345,9612.66643757079,94152.4996418576,466.398970839345,243.671684854847,136.079572309734,583095.974923477,846.150228003926,2227000
2020-08-01,246111.6,7231.9,41454.7,4320.2,18362.3,5462.3,1904057,28144.8,586927.520731342,9867.2390915595,94788.9790936162,451.575420057381,260.328273531708,135.52051505215,578870.767580813,847.424208641239,2227000
2020-08-02,242212,7268.6,41510.3,4391.3,18570.1,5463.3,1907584.4,28424.7,582485.159036177,10052.325722936,95291.0741455358,452.293942033276,273.102343453878,135.214681155561,574633.479049768,860.610966642714,2227000
2020-08-03,238771.8,7350.9,41543.8,4457.8,18797,5463.9,1910614.8,28718.7,577956.898230102,10217.5029185217,95752.4972841962,464.72675842908,282.218709514447,134.882504425148,570313.088653732,881.827972368675,2227000
2020-08-04,236011.6,7445.6,41577.9,4510,19023.5,5464.8,1912966.6,28998.3,573602.581789029,10376.8055122952,96222.9155996117,477.314361820384,284.757177258098,134.207153311588,566147.632507494,896.278692390069,2227000
2020-08-05,233571,7536.6,41605.4,4565,19256.8,5465.9,1914999.3,29287.7,569246.433988128,10511.8050514648,96694.1802666531,491.909747819659,281.002064049359,133.512883273488,561965.640486685,906.424695142505,2227000
2020-08-06,231478.3,7629,41663.6,4605.6,19490.2,5466.8,1916666.5,29562.6,564934.572739012,10652.4998662286,97209.0746311269,509.558279296883,265.657599176082,132.356941638888,557824.289414373,907.572820111853,2227000
2020-08-07,229636.6,7733.8,41715.1,4643.5,19736.5,5467.2,1918067.3,29847.2,560629.540418305,10776.8245211658,97737.9138814104,528.733439456973,259.171468337084,131.842178380062,553701.626915625,919.747086174118,2227000
2020-08-08,227968.9,7839.3,41793.7,4675.8,19983.9,5467.9,1919270.5,30127.6,556349.673302762,10896.9811145106,98321.0019548723,546.092812624374,253.993484168394,130.946897634117,549589.388783162,931.033194426885,2227000
2020-08-09,226348.3,7931.8,41903.6,4692.9,20258.2,5468.7,1920396.5,30419.8,551939.30787978,11028.3913405356,98996.0998122653,569.247828278686,257.525455052505,129.950798381541,545358.698632056,956.724081712732,2227000
2020-08-10,224945.2,8038.1,42026.7,4705.2,20519,5469.5,1921296.3,30693.7,547680.685809861,11145.3152440835,99675.238498887,601.151361971343,253.745147736858,128.97460990443,541281.274068677,983.871119612631,2227000
2020-08-11,223661.9,8135.1,42169.3,4715.8,20779.2,5469.9,1922068.8,30964.9,543409.956704227,11245.5876809529,100356.294309874,611.359108871374,258.839641477112,128.500155641929,537210.566805755,998.698905990415,2227000
2020-08-12,222364,8248.1,42321.3,4721.7,21047.6,5470.6,1922826.7,31239.9,539129.645012032,11366.4172759054,101103.96535453,618.687651404164,264.06029614465,127.792957552441,533128.308014881,1010.54090510125,2227000
2020-08-13,221201.5,8348.1,42509.4,4729.9,21313.5,5471.1,1923426.5,31514.5,534925.665485262,11482.3870031453,101908.912911678,621.165750826621,267.538501902063,127.212774515769,529105.391246253,1015.91702724445,2227000
2020-08-14,220069.3,8469.4,42704.4,4732.8,21589.5,5471.4,1923963.2,31793.7,530676.481769081,11591.6289640412,102756.211687859,625.000287999934,281.541559987154,126.878051687437,525053.101980895,1033.41989967452,2227000
2020-08-15,218934.6,8570.5,42942.2,4741.6,21869.6,5471.9,1924469.6,32083.1,526343.265895404,11708.417785935,103685.799267595,629.093983439677,303.36519246611,126.332458220364,520930.652383443,1058.79163412615,2227000
2020-08-16,217871.1,8683.5,43189.8,4748.1,22136.8,5472.8,1924897.9,32357.7,522192.513110146,11835.5592960367,104596.691222811,635.455025945975,330.00448481801,125.389632745295,516994.723593665,1090.84914350928,2227000
2020-08-17,216820.3,8795.4,43444.8,4758.4,22408.4,5473.7,1925299,32640.5,518115.333183848,11965.2505297633,105547.013636389,651.347864048083,358.062620221659,124.498232919186,513142.411910963,1133.90871718893,2227000
2020-08-18,215771.7,8905.4,43733.6,4760,22684.7,5474.5,1925670.1,32919.2,513997.229562972,12091.5093532611,106566.158325427,661.131000634519,386.132373675143,123.749949494939,509261.453454009,1171.0133238046,2227000
2020-08-19,214802.2,9022.5,44020.6,4763.1,22964.7,5475.2,1925951.7,33203,509949.825180439,12215.6961590406,107583.952732924,669.385456967807,422.028683859285,123.129850158278,505454.255440005,1214.54399098537,2227000
2020-08-20,213798,9136.5,44360.4,4761.3,23259.5,5475.5,1926208.8,33496.3,505743.600041563,12337.7443906899,108709.196796959,666.491867917381,458.549288517603,122.874122580794,501505.858804621,1247.91527901578,2227000
2020-08-21,212826.1,9251.5,44700.5,4767,23536.3,5476,1926442.6,33779.3,501713.424776027,12474.8605222664,109859.904383037,671.221721936947,494.189042776143,122.461422497046,497751.867744401,1287.87218721014,2227000
2020-08-22,211876.7,9374,45060.5,4762.9,23823.7,5476.3,1926625.9,34062.9,497706.392706192,12607.3179621996,111044.840612475,672.831695151172,534.968606555562,122.22197020176,494017.052823777,1330.02227190849,2227000
2020-08-23,210953.3,9505.8,45439.6,4767.9,24102.2,5476.9,1926754.3,34347,493814.313100593,12737.6305159162,112264.120493771,682.733103049794,575.398088283234,121.761611355961,490386.811169519,1379.89280268899,2227000
2020-08-24,209948.9,9609.3,45856.5,4762.5,24386,5477.6,1926959.2,34626.1,489831.087362256,12862.9840320977,113536.9849047,689.297649785635,616.250922920202,121.256092630432,486680.623684938,1426.80466533627,2227000
2020-08-25,209038.2,9717.6,46274,4764.6,24674.7,5477.8,1927053.1,34917.1,485931.094040462,13000.0654782966,114835.694421203,703.657615605772,656.153495761472,121.117959031681,483068.555525704,1480.92907039892,2227000
2020-08-26,208055.5,9830.1,46737.2,4769.3,24971.9,5478.1,1927157.9,35219.3,481830.170654609,13129.8289665174,116219.367137151,723.7929330962,697.066632396072,120.916045254548,479262.542555007,1541.77561074682,2227000
2020-08-27,207131,9960.2,47202.4,4766.2,25257,5478.6,1927204.6,35501.8,478034.717843171,13266.300168472,117559.78223202,746.089780120328,737.184915743669,120.593698011132,475790.310255726,1603.86839387513,2227000
2020-08-28,206188.3,10064.9,47713.2,4759,25548.9,5479.6,1927246.1,35787.5,474191.287925042,13389.5287404001,119005.245701019,757.669321010162,780.721390766258,120.002666637038,472275.096416157,1658.39337841346,2227000
