Date,S,E,I,Q,R,D,P,Total Cases,std S,std E,std I,std Q,std R,std D,std P,std Total Cases,N
2020-03-02,7716809.9,15.3,14.3,13.9,1,0.1,63624.5,15,30324.2979521373,1.67630546142402,0.640312423743285,0.3,0,0.3,30323.5913382633,0.6,7780479
2020-03-03,6411646.3,42.3,27.3,14.7,1.1,1.9,1368745.4,17.7,606455.850161255,10.6681769764098,8.62612311528186,3.79605057922046,0.3,2.11896201004171,606449.850768091,6.21501258926217,7780479
2020-03-04,5396198.3,79.7,51.5,19.4,1.2,2.7,2384126.2,23.3,1005234.97887161,23.908366736354,22.2092323145128,6.37495098020369,0.6,2.86530975637888,1005216.14848796,9.84026073658257,7780479
2020-03-05,4649653.2,131.9,104.7,25.9,1.6,4.5,3130557.2,32,1274653.54877087,48.1112253013785,50.1099790460942,8.99388681271896,1.2,4.8425200051213,1274609.16449952,15.0364068178403,7780479
2020-03-06,4064315.5,208.6,190.4,40.6,2.3,6.1,3715715.5,49,1472392.15469774,89.8656775415397,98.2956764054249,17.2116239791601,2.14709105535839,6.3,1472308.84519806,25.6587150345185,7780479
2020-03-07,3582167.8,332.7,321.6,68.4,2.9,9.7,4197575.9,81,1627218.10339596,167.013801824879,179.419174003226,34.2321486325355,2.46779253585061,10.2376755174209,1627081.84112333,46.937616685807,7780479
2020-03-08,3211135.3,494.4,518.9,109.6,4.5,14.5,4568201.8,128.6,1742003.37073245,296.217555185374,319.454989004711,61.9406167227935,3.77491721763537,14.7732867026942,1741805.7259946,80.488820643123,7780479
2020-03-09,2909895.7,709.9,810.8,165.8,7.7,21.7,4868867.4,195.2,1833277.95092174,520.170635464941,563.337163695065,99.6863079866037,4.85901224530254,23.9543315498471,1833040.01258686,128.499651781753,7780479
2020-03-10,2653300.7,1034.1,1251.3,256.3,10.3,32.7,5124593.6,299.3,1910746.91635591,978.613146243193,1012.68297605914,157.323265920842,5.95063021872474,36.9676885942305,1910523.32607379,200.241584733797,7780479
2020-03-11,2450101.3,1510.7,1852.4,374.3,17.7,45.9,5326576.7,437.9,1972327.32899654,1857.40835843925,1806.94090661538,234.782473792232,7.77238702072922,52.3076476244153,1972291.5054933,294.862508437376,7780479
2020-03-12,2280487.3,2239.6,2761,533.7,25.1,60.6,5494371.7,619.4,2024087.81463725,3411.87852069794,3317.43949454998,336.162178122406,10.4828431257937,68.594751985848,2024565.13240143,415.239773234047,7780479
2020-03-13,2137122.2,3400.3,4133.5,734.7,37.9,80.9,5634969.5,853.5,2068014.76992089,6327.67943325197,6060.00304042828,466.84002613315,15.1092686785297,89.0252211454709,2069671.81215082,570.974515957151,7780479
2020-03-14,2009531.4,5498.4,6481.7,979.9,57.7,107.4,5757822.5,1145,2106027.80895653,12000.3519048401,11474.5540135554,628.251295263289,22.777401080896,116.487939289868,2110292.53839051,767.516635634053,7780479
2020-03-15,1902478.8,9006.6,10214.5,1274.7,83.6,137.1,5857283.7,1495.4,2135188.49315182,21985.7083679376,21048.4386321171,822.41595923231,32.6778212248002,145.062365898258,2144319.33524347,1000.15614635537,7780479
2020-03-16,1804889.1,15075.3,16592,1621.8,118.9,172.3,5942009.6,1913,2156371.86289019,39718.8753542947,38503.2039757732,1046.76518856905,47.0094671316321,177.79204144168,2174355.43026462,1271.56669714236,7780479
2020-03-17,1707141,25690.5,28095.8,2026.9,167.4,209.7,6017147.7,2404,2168436.24208161,71177.5688012031,71176.2545808643,1308.66622559001,69.0379605724271,210.104759584356,2201889.72071301,1587.80894574679,7780479
