Date,S,E,I,Q,R,D,P,Total Cases,std S,std E,std I,std Q,std R,std D,std P,std Total Cases,N
2020-05-16,7602486.1,2006.5,1905.6,1931.4,46213,6265.1,119671.3,54409.5,62603.4157174351,39.9831214389272,33.9328749150437,28.7895814488505,0,3.47706773014274,62570.7350301241,32.2666491789933,7780479
2020-05-17,5453783.5,3751.2,1902.9,2190.9,46220.9,6310.6,2266319,54722.4,1092063.40234441,757.641973494077,706.643538143525,513.547359062434,7.84155596804614,52.3912206385765,1091430.48614559,573.780135669056,7780479
2020-05-18,4194149,4959.7,2218.2,2281,46243.8,6348,3524279.3,54872.8,1595401.85285476,1271.65608951477,1229.86883853523,738.182226824786,25.5882785665625,94.4478692189506,1594302.61226017,858.218374610299,7780479
2020-05-19,3379931,5892.6,2735,2297.7,46280,6379.5,4336963.2,54957.2,1871940.00930959,1686.84392876164,1757.46248893113,861.941187088771,52.8337013657003,137.773908995862,1870465.49683798,1052.54879745033,7780479
2020-05-20,2867960.8,6583,3324.5,2284.2,46323,6403.6,4847599.9,55010.8,2024157.5134972,2075.35197014868,2268.20661536819,927.52302397299,80.7650914690252,172.168057432266,2022381.43786643,1180.45617287428,7780479
2020-05-21,2515795.6,7133.6,3955.2,2260.3,46375.5,6423.4,5198535.4,55059.2,2119675.3658814,2455.76510277347,2790.59222388367,987.371667610531,112.429755847818,202.996650218667,2117661.6153188,1302.79807367702,7780479
2020-05-22,2265465.7,7576.1,4628.7,2240.8,46425.7,6440.5,5447701.5,55107,2184007.550262,2835.47828240669,3325.26564502748,1038.33884642731,144.319125551675,229.943145146795,2181786.66412856,1412.60111712578,7780479
2020-05-23,2083065.5,7950.7,5311.7,2220,46479.2,6455.1,5628996.8,55154.3,2229813.71278128,3217.33206399339,3851.09457297532,1084.30069630154,169.835685296112,249.824118131136,2227414.8364887,1503.96049972879,7780479
2020-05-24,1947134,8275.1,6002.3,2207.2,46533.4,6466.5,5763860.5,55207.1,2264647.36152837,3641.08605913126,4377.04226733076,1138.15331128983,198.765288720138,268.704019322376,2262088.65824133,1605.62261933234,7780479
2020-05-25,1840209.4,8572.1,6733.2,2191.6,46590.4,6478.5,5869703.8,55260.5,2293066.51039132,4041.31831089807,4924.2637175521,1179.89187640224,221.600631768053,285.575646720794,2290373.80639566,1687.06815489109,7780479
2020-05-26,1761640.8,8852.3,7433,2179.3,46648.4,6488.1,5947237.1,55315.8,2315264.28614777,4444.26043453801,5440.61590263455,1222.34700883178,243.787284327957,300.947320971628,2312435.73255278,1767.08161413136,7780479
2020-05-27,1700276.5,9123.5,8123.2,2175.9,46701.5,6496.7,6007581.7,55374.1,2333909.29723146,4870.89390666641,5951.15012077497,1266.77499580628,261.841268710645,313.883433777573,2330945.86756068,1842.4996982945,7780479
2020-05-28,1651966.9,9350.4,8852.7,2172.6,46757.1,6505.9,6054873.4,55435.6,2349874.42162335,5270.91286590852,6481.09455339143,1304.48006500674,275.845772126382,328.244558218411,2346797.23186735,1908.57039535154,7780479
2020-05-29,1613270.1,9599.5,9564.2,2170.9,46816.2,6512.4,6092545.7,55499.5,2363525.5751656,5705.92043845688,7004.3303862682,1346.13591067173,286.167014171794,337.721246000307,2360340.30401462,1970.02417084383,7780479
2020-05-30,1582138.2,9858.6,10276.7,2175.5,46876.8,6517,6122636.2,55569.3,2375528.93226278,6165.28129447473,7528.59324243248,1387.83120371319,294.237251210651,344.834163040729,2372243.83024241,2026.90261796457,7780479
2020-05-31,1555551.1,10130.9,11026.2,2181.6,46939.5,6522.5,6148127.2,55643.6,2386237.00043363,6609.56049143965,8066.67920274508,1424.32097506145,299.506343839325,352.468792944851,2382839.6573078,2076.29611184563,7780479
2020-06-01,1534742.8,10409.6,11739,2194.8,46999.1,6526.7,6167867,55720.6,2395193.73492512,7076.92566302628,8585.29047848703,1465.47301578705,300.449147111454,359.529150417598,2391686.07963545,2125.45131331611,7780479
2020-06-02,1517739.6,10692,12469.3,2211.3,47064.7,6531.2,6183770.9,55807.2,2403451.47007091,7568.80283796586,9124.40740048361,1506.76594400059,300.64831614363,365.938191502336,2399840.46757106,2173.35245164656,7780479
2020-06-03,1503312.7,10995,13202,2228.9,47128.8,6534.6,6197077,55892.3,2410432.47079884,8049.86593677187,9669.12264892736,1545.53210578105,301.802186870805,370.747137547952,2406723.46965795,2218.0814301998,7780479
2020-06-04,1491226.2,11295.8,13939.8,2246.4,47197.9,6537.8,6208035.1,55982.1,2416798.9586208,8544.22258371117,10209.5428575426,1585.12461339795,299.85911691993,375.376024807126,2412972.22504837,2260.35975512501,7780479
2020-06-05,1480804.8,11631.6,14672.5,2268.1,47265,6540.6,6217296.4,56073.7,2422238.15474419,9007.23157468487,10755.079453449,1625.10076302979,298.876897735506,378.745877865357,2418282.87320864,2302.72353863065,7780479
2020-06-06,1471622.5,11999.2,15460.2,2293,47337.8,6543.1,6225223.2,56173.9,2427285.58635461,9522.71106145724,11356.7998379825,1661.57280911792,290.363496328309,382.782823543586,2423184.0320815,2334.71912898981,7780479
2020-06-07,1464014.6,12356.7,16228.6,2328.5,47406.3,6545,6231599.3,56279.8,2431620.22497467,10033.3751255497,11965.2488833288,1707.31878979879,283.444897643263,385.555184117656,2427375.94131667,2376.31887155971,7780479
2020-06-08,1457542.4,12761.9,17000.8,2357.1,47482.1,6547.5,6236787.2,56386.7,2435730.80858695,10576.2584447431,12567.4756797059,1728.9129214625,270.063492534626,389.270407300632,2431316.68829623,2388.24682129776,7780479
2020-06-09,1451685.7,13161.9,17803.6,2383.5,47560.1,6550.3,6241333.9,56493.9,2439033.64211341,11141.7980366725,13209.6910047132,1757.99563423804,259.393311401817,392.851893211678,2434457.72039329,2410.24083885153,7780479
2020-06-10,1446547,13598.2,18617,2412,47637.3,6552.6,6245114.9,56601.9,2442061.88062199,11698.577373339,13869.8903095879,1785.38438438337,245.68437068727,395.07270217012,2437304.41634907,2426.14145724076,7780479
2020-06-11,1441829.6,14068.1,19438.2,2442.7,47722.4,6554.2,6248423.8,56719.3,2444553.90075078,12273.3312385024,14526.0364504568,1810.10375669463,234.322939551381,395.722579593331,2439607.9054723,2440.14927583934,7780479
2020-06-12,1437352.9,14547.7,20362.6,2471.1,47810,6556.2,6251378.5,56837.3,2446731.52808703,12904.4457149465,15286.217126549,1844.37059453896,220.949768046948,397.975074596387,2441568.5669606,2463.2954371823,7780479
2020-06-13,1433673.3,15023.3,21262.9,2498.8,47899.1,6558.9,6253562.7,56956.8,2448826.88760121,13499.0274912677,16035.5636972948,1865.59785591644,209.126492821928,401.179872376469,2443433.3497896,2475.90422111483,7780479
2020-06-14,1430428.2,15490.3,22200.3,2539.4,47985.9,6560.7,6255274.2,57086,2450815.00338062,14160.9465506371,16830.0603269864,1886.62493357848,198.812197814923,403.352959577589,2445188.37843782,2488.79009097099,7780479
2020-06-15,1427303.4,15997,23170.3,2563.7,48084.8,6562.4,6256797.4,57210.9,2452452.9245628,14802.437751938,17652.6845893196,1909.70710057852,199.387461992975,404.894603569867,2446577.50892291,2513.98916614136,7780479
2020-06-16,1424395.9,16551.9,24158.7,2600.5,48178.3,6563.9,6258029.8,57342.7,2453885.03520855,15530.7572349194,18479.2657757282,1921.56343897359,194.010334776269,406.487748892879,2447761.9546252,2522.06152264274,7780479
2020-06-17,1421699.8,17132.1,25160.7,2647.8,48275.2,6565.3,6258998.1,57488.3,2455153.19518851,16195.2821429576,19371.9264351793,1953.70912881114,193.210144661195,407.440805516581,2448746.2543154,2554.36007898892,7780479
2020-06-18,1419021,17744,26244,2688.7,48385.2,6566.3,6259829.8,57640.2,2456264.56106788,16931.2687829353,20317.4164154796,1960.59078086173,211.80028328593,408.310923194568,2449557.79749018,2580.70198734223,7780479
2020-06-19,1416573.2,18332.5,27318.5,2739,48490.4,6566.9,6260458.5,57796.3,2457214.03451579,17653.9470841509,21275.9222702566,1971.4061479056,231.542307149255,408.839442813435,2450175.594337,2611.78789786829,7780479
2020-06-20,1414290.6,18932.2,28439.4,2783.5,48600.6,6567.8,6260864.9,57951.9,2458126.28911198,18391.0770255578,22277.355526184,1979.07984932392,255.730795955434,409.684463947561,2450743.79411963,2644.49510922692,7780479
2020-06-21,1412039.8,19553.5,29601,2837.1,48711.4,6568.7,6261167.5,58117.2,2458848.8628727,19159.48398183,23308.7686247043,1995.10453109605,279.769976945347,410.369114334888,2451106.61412152,2685.24362237629,7780479
2020-06-22,1410022.5,20159,30824.6,2875.1,48835.4,6569.6,6261192.8,58280.1,2459687.98383475,19858.4838243004,24425.4051438251,2005.44281643731,311.4123311624,411.015620141133,2451590.75789079,2727.87076774084,7780479
2020-06-23,1407937.6,20785,32087,2928.6,48955.3,6570,6261215.5,58453.9,2460353.10695007,20647.3457277201,25581.8531111411,2008.87218110063,351.718936083913,411.370878891542,2451850.84376967,2771.96199607609,7780479
2020-06-24,1405860,21476.2,33411.6,2981.5,49085.1,6571,6261093.6,58637.6,2460976.7702952,21460.1461169303,26790.1992907854,2024.2787480977,385.168651372357,412.693590936423,2452039.27853524,2822.14099040648,7780479
2020-06-25,1403738.7,22166.4,34749,3038.4,49212.5,6572,6261002,58822.9,2461360.54381072,22248.4297117797,28025.3098680461,2030.06330935762,424.56689696678,413.176717640285,2451990.72752961,2867.80692396468,7780479
2020-06-26,1401783.4,22854.3,36134.2,3084.3,49348.6,6572.6,6260701.6,59005.5,2461842.23350243,23061.6688080026,29295.9556041444,2033.74108725767,472.955008431035,413.513046952572,2452022.1256687,2920.20914264127,7780479
2020-06-27,1399944.5,23583,37542,3142.2,49485.5,6572.9,6260208.9,59200.6,2462464.65835241,23897.6846911997,30589.0603974689,2027.15948065267,524.416294559961,413.477314976287,2452156.06946758,2965.05309018892,7780479
2020-06-28,1397939.7,24326.5,39013.3,3193,49628.3,6573.9,6259804.3,59395.2,2462778.49172186,24718.5119465149,31953.3293071317,2030.22988846091,576.297674817451,414.390745553035,2451986.28345984,3020.9183088314,7780479
2020-06-29,1396041.6,25022,40563,3239.7,49780.1,6574.3,6259258.3,59594.1,2463223.49729561,25480.4864121547,33395.2376395198,2029.58680770249,631.350687019504,414.350105587051,2451913.14219313,3075.28760030905,7780479
2020-06-30,1394168.9,25771.1,42200.3,3305.6,49937.7,6575.4,6258520,59818.7,2463755.96078262,26299.7986663396,34926.843856982,2023.41301765112,692.04610395551,415.266468668011,2451885.81480182,3130.72559027464,7780479
2020-07-01,1392289.2,26525,43814,3372.9,50091.8,6575.9,6257810.2,60040.6,2464179.80097337,27081.4334775691,36447.5913387977,2032.63737297138,745.576126227228,415.428561849086,2451789.83568559,3193.6420610477,7780479
2020-07-02,1390390,27275.4,45482.6,3433.9,50252.6,6576.2,6257068.3,60262.7,2464528.0538245,27884.6281208841,38029.0200194536,2031.06107490641,800.719951044059,415.608180862697,2451580.03733858,3247.38920681317,7780479
2020-07-03,1388607.9,28004.7,47190.9,3491,50422.5,6576.4,6256185.6,60489.9,2464985.08176676,28580.568587941,39614.9648528179,2022.32321847918,857.774008699261,415.795670973136,2451489.81800734,3295.89289815158,7780479
2020-07-04,1386836,28692.7,48960.4,3541.4,50603.3,6577,6255268.2,60721.7,2465407.9037107,29223.2149533552,41269.5789394561,2015.85828867011,921.485002590927,416.359940436157,2451321.3762101,3353.7032316972,7780479
2020-07-05,1384814.1,29443.6,50777.7,3601.4,50782.5,6577.7,6254482,60961.6,2465671.92954993,29908.6429387894,42960.7900138021,2006.20184428188,988.87352578578,416.519879477559,2450959.0288432,3411.59524954521,7780479
2020-07-06,1382895.4,30184,52722.2,3675.7,50974.5,6578.4,6253448.8,61228.6,2466054.93148641,30618.8651324637,44762.1906072525,2002.73358437911,1049.76256839344,417.285082407699,2450703.60068446,3469.78123518025,7780479
2020-07-07,1380987.1,30913.8,54644.7,3747.5,51164.3,6579,6252442.6,61490.8,2466435.82144168,31211.5925540495,46550.1151793419,1997.50560700089,1114.29484877208,417.261069355865,2450453.93344965,3529.06152512884,7780479
2020-07-08,1378977.3,31592,56609.6,3815.4,51353.5,6579.1,6251552.1,61748,2466567.78237554,31750.7361174509,48362.133685767,1982.07553841926,1177.40640817009,417.456213272722,2449987.85090777,3576.93815986207,7780479
2020-07-09,1377219.8,32306.1,58606.7,3883,51557.5,6579.7,6250326.2,62020.2,2467093.85194333,32265.0168276727,50209.956401196,1957.00444557492,1251.67274077532,417.637175069461,2449845.95086282,3626.3143614197,7780479
2020-07-10,1375351.3,33010.5,60638.9,3964,51764.9,6580.1,6249169.3,62309,2467525.2996006,32725.1874593561,52086.2781650791,1944.88632058534,1323.46352046439,417.826387390744,2449613.11507593,3686.17622844048,7780479
2020-07-11,1373430,33616.4,62752.7,4046.8,51980.1,6580.5,6248072.5,62607.4,2467775.94372702,33109.4917605209,54019.7671821159,1917.31128406422,1404.46398672234,417.821313482211,2449212.72267385,3739.59658426877,7780479
2020-07-12,1371504.4,34243.6,64973.1,4129.4,52204.6,6580.8,6246843.1,62914.8,2468124.19767775,33454.3722529657,56040.4538801213,1900.79463383081,1476.12399208197,417.819769757248,2448883.95537769,3794.73839567002,7780479
2020-07-13,1369588.1,34835.3,67145.6,4201.8,52435.4,6581.2,6245691.6,63218.4,2468337.39935814,33769.3543913709,58006.4956159222,1890.77824188877,1546.18092084982,418.01526287924,2448438.55823936,3854.97442561783,7780479
2020-07-14,1367789.8,35392.9,69354,4294.4,52662.7,6581.3,6244403.9,63538.4,2468629.39408745,33977.9305386599,60012.7059729854,1868.92858076493,1621.99408445284,418.015801136751,2448125.78794213,3908.93846635452,7780479
2020-07-15,1366040.5,35933.7,71605,4374.5,52900.7,6581.8,6243042.8,63857,2468998.11248613,34157.4865587326,62026.573076384,1857.27199138952,1694.49202122642,418.409082119401,2447875.61471799,3970.17309473534,7780479
2020-07-16,1364073.6,36461.4,73864.6,4469.6,53144.1,6582.4,6241883.3,64196.1,2469060.76092919,34322.6685361147,64022.8619263463,1851.42929651661,1761.59458729868,418.613234382288,2447336.34432949,4031.63711819758,7780479
2020-07-17,1362375.9,36940.8,76144.3,4560.1,53398.4,6582.7,6240476.8,64541.2,2469410.24403218,34375.6116070682,66036.6538765404,1824.98451774255,1846.70626792677,418.621081647831,2447078.62198969,4090.31186731714,7780479
2020-07-18,1360633.7,37366.6,78539.2,4673.5,53663.2,6583.3,6239019.5,64920,2469665.07812367,34410.6299657533,68103.7680716713,1816.29343719565,1928.89138107878,418.833630454862,2446726.34586299,4164.01844872929,7780479
2020-07-19,1358849.5,37734.9,80872.6,4763.5,53937.9,6583.5,6237737.1,65284.9,2469778.05209149,34416.6559748329,70123.4204844573,1810.52352925887,2004.89293729117,418.842034662234,2446251.48606469,4234.25850121227,7780479
2020-07-20,1357197,38124.8,83222.1,4857,54210.2,6584.1,6236283.8,65651.3,2469980.93042339,34337.7698658489,72132.2595742709,1794.04955338474,2084.93927009877,419.061916666261,2445898.59447913,4298.05074014978,7780479
2020-07-21,1355315.8,38488.4,85609.6,4953.8,54491.3,6584.3,6235035.8,66029.4,2469864.58048286,34233.501597704,74150.6443413677,1776.66596747954,2167.09215540087,419.073275215684,2445271.30012119,4362.83139809609,7780479
2020-07-22,1353671,38803.2,87971.5,5058,54780,6584.9,6233610.4,66422.9,2469917.95961485,34149.1101547317,76151.4775736492,1771.42185828221,2251.75393859986,419.300476985181,2444823.81962546,4442.47627386726,7780479
2020-07-23,1352010.9,39029.9,90358.3,5165.1,55076.7,6585,6232253.1,66826.8,2469769.97768268,34067.3104704495,78148.880735491,1756.86165932324,2346.68690071769,419.307524377992,2444246.23425793,4522.85608441892,7780479
2020-07-24,1350191.7,39367.7,92796.2,5277,55391.2,6585.5,6230869.7,67253.7,2469547.62216962,34042.2259878816,80136.4360472813,1750.57750471095,2430.97975310367,419.532895015397,2443580.60477792,4601.09015283002,7780479
2020-07-25,1348735.8,39614.5,95165.7,5377.8,55707.6,6585.8,6229291.8,67671.2,2469612.01594424,33944.8300695408,82076.8820887465,1750.84566995495,2503.87077142571,419.744398414082,2443241.07509225,4674.46083979475,7780479
2020-07-26,1347177.4,39813.1,97571.6,5446.1,56042.3,6585.8,6227842.7,68074.2,2469497.50086949,33850.0496054289,84005.5317621405,1729.5841956956,2600.79526491418,419.744398414082,2442749.85955484,4750.12385902386,7780479
2020-07-27,1345883.6,39981.8,99936.7,5556,56371.4,6586,6226163.5,68513.4,2469564.99568888,33812.9876343396,85891.4944706983,1725.57149953284,2685.84095582743,419.761599005912,2442475.46865492,4831.17405436618,7780479
2020-07-28,1344636,40164.7,102251.9,5671.1,56701.9,6586.2,6224467.2,68959.2,2469588.55766964,33774.7369850603,87722.8760511761,1709.08598086814,2785.52729119641,419.779656486591,2442166.33631327,4914.39292855114,7780479
2020-07-29,1343353.8,40261.1,104604.3,5766.4,57058.4,6586.4,6222848.6,69411.2,2469498.43488725,33786.2316704601,89559.094929605,1696.06646096195,2886.07256319033,419.798570745542,2441783.24247289,5001.93759489782,7780479
2020-07-30,1342125.3,40328.7,107036.1,5881.8,57433.5,6586.6,6221087,69901.9,2469394.74457759,33825.5279723761,91456.1729261071,1689.80281689906,2995.35160707387,420.003380938773,2441415.1777422,5105.1578049117,7780479
2020-07-31,1340778.9,40451.7,109330.9,5992.6,57798.8,6586.9,6219539.2,70378.3,2469091.9528411,33935.8781205084,93234.516593856,1681.55435237759,3100.71762016473,420.033915297325,2440887.14059597,5202.30588783964,7780479
2020-08-01,1339641.7,40512.7,111601.7,6112.8,58168.5,6586.9,6217854.7,70868.2,2468907.54289479,34097.9121033825,94954.7916284902,1675.53291820841,3191.4219793064,420.033915297325,2440527.64703226,5286.98881281214,7780479
2020-08-02,1338528.3,40546,113848.3,6231.8,58545.9,6587.3,6216191.4,71365,2468625.04565449,34299.8203377219,96643.3694032343,1680.07730774509,3285.31990679751,420.077623779225,2440093.50843656,5385.47483832183,7780479
2020-08-03,1337422.6,40589.4,116040.4,6333.2,58956.9,6587.8,6214548.7,71877.9,2468233.12145069,34595.3040200545,98301.1489843329,1683.71178056103,3386.29196762476,420.319592691086,2439623.47209954,5490.32334087688,7780479
2020-08-04,1336456.7,40609.3,118185.9,6460.6,59364.6,6587.9,6212814,72413.1,2467883.40371044,34962.2842990843,99889.4257040754,1678.77641155694,3492.48740012044,420.331880779938,2439232.4475416,5591.59569245731,7780479
2020-08-05,1335403.6,40604.1,120425.8,6578.7,59789.8,6588.2,6211088.8,72956.7,2467386.13673949,35446.4884310139,101516.51687563,1689.87792754388,3590.25800744181,420.551970629077,2438733.0143807,5700.68790561476,7780479
2020-08-06,1334470.5,40581.3,122514.5,6702.7,60204.9,6588.4,6209416.7,73496,2466835.34695408,35978.1177885948,103052.383150755,1699.62996266835,3703.23473331087,420.577983256375,2438244.40676701,5823.44267923559,7780479
2020-08-07,1333764.2,40586,124539,6832.1,60635.3,6588.7,6207533.7,74056.1,2466459.10091369,36602.5092145334,104553.966491951,1718.62913102275,3807.18494559957,420.618603963258,2437964.41634619,5946.43268058557,7780479
2020-08-08,1333031.5,40548.1,126536.6,6944.5,61082.4,6588.9,6205747,74615.8,2466007.99463531,37206.416601038,105998.421264847,1702.62962795788,3932.34213160554,420.646752037859,2437594.44817976,6055.61851160128,7780479
2020-08-09,1332403,40512.8,128490.8,7074.3,61518.6,6589.2,6203890.3,75182.1,2465554.5407887,37880.4629375091,107386.867671797,1706.56280575899,4039.25369839529,420.870478888696,2437265.77952545,6166.68698304297,7780479
2020-08-10,1331857.9,40492.6,130378.3,7196,61972.4,6589.6,6201992.2,75758,2465129.67499673,38585.0254819146,108723.322581726,1739.41645387182,4149.62324072921,420.930920698397,2436987.36943292,6309.97061529942,7780479
2020-08-11,1331111.4,40431.3,132340.9,7326,62462.4,6589.9,6200217.1,76378.3,2464316.95303255,39448.724382545,110071.967645218,1748.09753732451,4278.97310578134,420.978491137018,2436432.87333415,6448.04913424286,7780479
2020-08-12,1330590.2,40433.4,134123.1,7451.3,62933,6590.1,6198357.9,76974.4,2463666.26517854,40335.3966813269,111337.363594123,1764.20889069294,4399.74390163791,421.189375459543,2436066.32603123,6585.14216779039,7780479
2020-08-13,1329945.3,40425.5,135862.1,7580.6,63418.4,6590.3,6196656.8,77589.3,2462747.16641043,41256.5607564421,112547.891062827,1772.51872768668,4538.1383892517,421.222518391408,2435482.50614726,6731.87963532978,7780479
2020-08-14,1329555.1,40411.9,137557.1,7698.3,63911,6590.7,6194754.9,78200,2462066.78827064,42198.0312987466,113731.95077853,1780.08101220141,4668.52334255704,421.468397391786,2435161.40146305,6870.07275215024,7780479
2020-08-15,1329143.5,40408.8,139201.3,7805.4,64426.6,6590.9,6192902.5,78822.9,2461202.35571723,43212.2038868651,114846.805888584,1789.50145012515,4806.32429617478,421.50360615302,2434713.61505538,7017.32935245295,7780479
2020-08-16,1328590.1,40399,140776.9,7934.5,64937.8,6591.3,6191249.4,79463.6,2460109.00276583,44240.1606959107,115912.632575099,1807.60981685761,4938.37290613012,421.5765766738,2434075.12357906,7167.55929966152,7780479
2020-08-17,1328090.4,40454.6,142350.5,8060.2,65478.6,6591.5,6189453.2,80130.3,2458946.93106896,45360.5871064297,116981.550024138,1817.62640825886,5082.15334676159,421.614337991487,2433440.648444,7321.39409301193,7780479
2020-08-18,1327898.7,40508,143800.6,8183.8,66016.9,6591.7,6187479.3,80792.4,2458080.42788046,46470.8574592723,118004.100881452,1816.05775238564,5236.76870694133,421.652949711015,2433099.94755879,7474.47940903799,7780479
2020-08-19,1327720.1,40556.6,145205.7,8286.5,66579.9,6591.8,6185538.4,81458.2,2457123.05237009,47653.8587969537,118963.200819455,1817.16324252941,5390.03598225466,421.672574398668,2432738.63074376,7628.87179918274,7780479
2020-08-20,1327584.9,40599.1,146564.1,8425.1,67123,6592,6183590.8,82140.1,2456164.83379676,48811.6265114163,119889.834238312,1855.95002357283,5525.06195440377,421.712461281381,2432384.61993632,7802.72443925798,7780479
2020-08-21,1327444,40688.1,147846,8563.3,67676.4,6592.3,6181668.9,82832,2455057.25704371,49990.9645325033,120765.094786532,1862.3686020764,5674.35564976324,421.773884919396,2431945.12338706,7958.49813675904,7780479
2020-08-22,1327429.4,40794.5,149108.5,8678,68251.4,6592.5,6179624.7,83521.9,2454149.94353406,51193.1756296677,121623.347259685,1887.35884240385,5833.0988368105,421.815895859793,2431702.33862568,8142.27357507414,7780479
2020-08-23,1327441.5,40898.9,150370,8799.2,68864.7,6592.7,6177512,84256.6,2453110.68789842,52413.2173758681,122482.403145921,1895.98458854496,6000.75420343143,421.858755983564,2431360.06552004,8318.59754795996,7780479
2020-08-24,1327452.2,41011.5,151514.2,8912.3,69463.2,6592.8,6175532.8,84968.3,2451976.43321007,53647.1060417056,123268.334756985,1908.35300979667,6169.53036786432,421.880504408535,2430972.88640157,8499.76388206952,7780479
2020-08-25,1327544.7,41150.2,152604.5,9037.7,70063.8,6593.3,6173484.8,85694.8,2450815.60980846,54929.2309591168,123991.052300761,1920.13822679514,6343.00415891398,421.992428842035,2430644.87903086,8685.13481455116,7780479
2020-08-26,1327739.9,41283.7,153671.3,9128.5,70696.9,6593.4,6171365.3,86418.8,2449729.7567252,56219.2239132665,124711.349370496,1951.53643317259,6516.88624191032,422.015449954146,2430398.80138508,8890.43812503706,7780479
2020-08-27,1327801.6,41472.2,154682.1,9215,71326.7,6593.4,6169388,87135.1,2448393.60903112,57526.9238857772,125386.797013442,1962.49723566684,6702.72601334711,422.015449954146,2429952.4193087,9087.2386989681,7780479
2020-08-28,1327952.9,41670.7,155622.6,9322.3,71967.7,6593.6,6167349.2,87883.6,2447097.86079791,58828.9663908011,126046.649753335,1997.34584136048,6877.33560399665,422.062128128075,2429553.97531834,9296.74357348521,7780479
